"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent"
"Bin107",0.00297342661023419,"f989b946821efeb6ae7152f0ec5f6730a1ec87cd",0.46757821090622,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Uncultured_Leptolyngbyaceae","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Leptolyngbyales",0.46757821090622,"Leptolyngbyaceae",0.46757821090622,"Uncultured_Leptolyngbyaceae",0.46757821090622
"Bin108",0.0265049365402633,"7fb85e31c7c1cc58fd30385ae503f74aa4ac9624",0.973135215305549,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Rivularia_PCC-7116","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Nostocaceae",1,"Rivularia_PCC-7116",0.973135215305549
"Bin109",0.000503500796464248,"dc44a3bbdf9fcc9240771f2c45b8b4b9d57cf88d",0.811964557471309,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Spirulina_DRTO-55.2","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Paraspirulinaceae",0.811964557471309,"Spirulina_DRTO-55.2",0.811964557471309
"Bin110",0.000193895802492212,"fc7582ae94f8e931aeb232a83dcb2014aef20a0e",0.838946605505593,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystaceae","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Microcystaceae",1,"Microcystaceae",0.838946605505593
"Bin111",0.000348816058363838,"2c9bf110993b4f29ac45ac8da26b991da48fe99a",0.808624258567471,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","SU2_symbiont_group","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Microcystaceae",1,"SU2_symbiont_group",0.808624258567471
"Bin112",2.27185042732234e-06,"a219e28bf8e1bf3477312e5079bd8edf8498d1f1",0.389602531076572,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Paraspirulinaceae","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Paraspirulinaceae",0.389602531076572,"Paraspirulinaceae",0.389602531076572
"Bin113",0.00110886388386237,"21168f80b7ff2570c9e27300007659bde87f09dc",0.751397874676611,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Gloeocapsaceae","Gloeocapsa","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Gloeocapsaceae",0.751397874676611,"Gloeocapsa",0.751397874676611
"Bin114",0.00348257829030483,"110c7beffbbced9b6910fd1371e38c68786e6a29",0.445516374580418,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcidiopsis_PCC-6712","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Xenococcaceae",1,"Chroococcidiopsis_PCC-6712",0.445516374580418
"Bin115",5.74455899975161e-05,"082b1ac0b12268f6d1d09a68a3fafe8fb342553e",0.8119623158654,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Spirulina_CCC_Snake_P-Y-85","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Paraspirulinaceae",0.8119623158654,"Spirulina_CCC_Snake_P-Y-85",0.8119623158654
"Bin116",0.000102012552641237,"6e108331a36aaa24d8b4857f5f1fbfe5af47dd71",0.513532376964822,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Spirulina_P7","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Paraspirulinaceae",0.684249988448963,"Spirulina_P7",0.513532376964822
